debs_symbol,yahoo_ticker,exchange,status,shortName,longName,sector,industry,country,city,currency,quoteType,marketCap,fullTimeEmployees,website,isin_yf
157484.ETR,157484.DE,ETR,no_data,,,,,,,,,,,,
120471.ETR,120471.DE,ETR,no_data,,,,,,,,,,,,
252092.ETR,252092.DE,ETR,no_data,,,,,,,,,,,,
126215.ETR,126215.DE,ETR,no_data,,,,,,,,,,,,
164456.ETR,164456.DE,ETR,no_data,,,,,,,,,,,,
200417.ETR,200417.DE,ETR,no_data,,,,,,,,,,,,
120470.ETR,120470.DE,ETR,no_data,,,,,,,,,,,,
121806.ETR,121806.DE,ETR,no_data,,,,,,,,,,,,
120071.ETR,120071.DE,ETR,no_data,,,,,,,,,,,,
260555.ETR,260555.DE,ETR,no_data,,,,,,,,,,,,
2AMZ.NL,2AMZ.AS,NL,ok,Leverage Shares 2x Amazon ETP S,Leverage Shares 2x Amazon ETP Securities,,,,,EUR,ETF,,,,
2AAP.NL,2AAP.AS,NL,ok,Leverage Shares 2x Apple ETP Se,Leverage Shares 2x Apple ETP Scs,,,,,EUR,ETF,,,,
2BAB.NL,2BAB.AS,NL,ok,Leverage Shares 2x Alibaba ETP ,Leverage Shares 2x Alibaba ETP Scs,,,,,EUR,ETF,,,,
2CRSI.FR,2CRSI.PA,FR,no_data,,,,,,,,NONE,,,,
2FB.NL,2FB.AS,NL,ok,Leverage Shares 2x Facebook ETP,Leverage Shares 2x Facebook ETP Securities,,,,,EUR,ETF,,,,
2AMD.NL,2AMD.AS,NL,ok,Leverage Shares 2x Advanced Mic,Leverage Shares 2x Advanced Micro Devices ETC,,,,,EUR,ETF,,,,
2CRM.NL,2CRM.AS,NL,ok,Leverage Shares 2x Salesforce.c,Leverage Shrs 2x Salesforce.com ETP Securities,,,,,EUR,ETF,,,,
2CIT.NL,2CIT.AS,NL,ok,Leverage Shares 2x Citigroup ET,Leverage Shares 2x Citigroup ETP Securities,,,,,EUR,ETF,,,,
2MU.NL,2MU.AS,NL,ok,Leverage Shares 2x Micron Techn,Leverage Shares 2x Micron Tech ETP Scs,,,,,EUR,ETF,,,,
2MSF.NL,2MSF.AS,NL,ok,Leverage Shares 2x Microsoft ET,Leverage Shares 2x Microsoft ETP Securities,,,,,EUR,ETF,,,,
2GS.NL,2GS.AS,NL,ok,Leverage Shares 2x Goldman Sach,Leverage Shares 2x Goldman Sachs ETP Securities,,,,,EUR,ETF,,,,
2GOO.NL,2GOO.AS,NL,ok,Leverage Shares 2x Alphabet ETP,Leverage Shares 2x Alphabet ETP Securities,,,,,EUR,ETF,,,,
2JPM.NL,2JPM.AS,NL,ok,Leverage Shares 2x JPMorgan ETP,Leverage Shares 2x JPMorgan ETP Securities,,,,,EUR,ETF,,,,
2MX.FR,2MX.PA,FR,no_data,,,,,,,,NONE,,,,
2NVD.NL,2NVD.AS,NL,ok,Leverage Shares 2x NVIDIA ETP S,Leverage Shares 2x NVIDIA ETP Securities,,,,,EUR,ETF,,,,
2NFL.NL,2NFL.AS,NL,ok,Leverage Shares 2x Netflix ETP ,Leverage Shares 2x Netflix ETP Securities,,,,,EUR,ETF,,,,
2MXBS.FR,2MXBS.PA,FR,no_data,,,,,,,,,,,,
2TSL.NL,2TSL.AS,NL,ok,Leverage Shares 2x Tesla ETP Se,Leverage Shares 2x Tesla ETP Scs,,,,,EUR,ETF,,,,
2TWT.NL,2TWT.AS,NL,ok,Leverage Shares 2x Twitter ETP ,Leverage Shares 2x Twitter ETC,,,,,EUR,ETF,,,,
2STS.NL,2STS.AS,NL,ok,Leverage Shares -2x Short Tesla,Leverage Shares -2x Short Tesla ETP Securities,,,,,EUR,EQUITY,,,,
2VIS.NL,2VIS.AS,NL,ok,Leverage Shares 2x Visa ETP Sec,Leverage Shares 2x Visa ETP Securities,,,,,EUR,ETF,,,,
2UBR.NL,2UBR.AS,NL,ok,Leverage Shares 2x Uber ETP Sec,Leverage Shares 2x Uber ETP Scs,,,,,EUR,ETF,,,,
3BA.NL,3BA.AS,NL,no_data,,,,,,,,NONE,,,,
3AMZ.NL,3AMZ.AS,NL,ok,Leverage Shares 3x Amazon ETP S,Leverage Shares 3x Amazon ETC,,,,,EUR,ETF,,,,
3AAP.NL,3AAP.AS,NL,ok,Leverage Shares 3x Apple ETP Se,Leverage Shares 3x Apple ETP Scs,,,,,EUR,ETF,,,,
3BAC.NL,3BAC.AS,NL,no_data,,,,,,,,NONE,,,,
3BP.NL,3BP.AS,NL,ok,Leverage Shares 3x BP ETP Secur,Leverage Shares 3x BP ETP Securities,,,,,EUR,EQUITY,,,,
357818.ETR,357818.DE,ETR,no_data,,,,,,,,,,,,
3HSB.NL,3HSB.AS,NL,no_data,,,,,,,,NONE,,,,
3FB.NL,3FB.AS,NL,ok,Leverage Shares 3x Facebook ETP,Leverage Shares 3x Facebook ETP Scs,,,,,EUR,ETF,,,,
3CRM.NL,3CRM.AS,NL,ok,Leverage Shares 3x Salesforce.C,Leverage Shrs 3x Salesforce.Com ETP Scs,,,,,EUR,ETF,,,,
3GOO.NL,3GOO.AS,NL,ok,Leverage Shares 3x Alphabet ETP,Leverage Shares 3x Alphabet ETP Scs,,,,,EUR,ETF,,,,
3MSF.NL,3MSF.AS,NL,ok,Leverage Shares 3x Microsoft ET,Leverage Shares 3x Microsoft ETC,,,,,EUR,ETF,,,,
3NFL.NL,3NFL.AS,NL,ok,Leverage Shares 3x Netflix ETP ,Leverage Shares 3x Netflix ETC,,,,,EUR,EQUITY,,,,
3RDS.NL,3RDS.AS,NL,no_data,,,,,,,,NONE,,,,
3PYP.NL,3PYP.AS,NL,ok,Leverage Shares 3x PayPal ETP S,Leverage Shares 3x PayPal ETP Securities,,,,,EUR,EQUITY,,,,
3SHP.NL,3SHP.AS,NL,ok,Leverage Shares 3x Shopify ETP ,,,,,,EUR,ETF,,,,
3SQ.NL,3SQ.AS,NL,ok,Leverage Shares 3x Square ETP S,Leverage Shares 3x Square ETP Securities,,,,,EUR,EQUITY,,,,
3NVD.NL,3NVD.AS,NL,ok,Leverage Shares 3x NVIDIA ETP S,Leverage Shares 3x NVIDIA ETC,,,,,EUR,ETF,,,,
3TSL.NL,3TSL.AS,NL,ok,Leverage Shares 3x Tesla ETP Se,Leverage Shares 3x Tesla ETP Securities,,,,,EUR,EQUITY,,,,
3VOD.NL,3VOD.AS,NL,no_data,,,,,,,,NONE,,,,
3ZM.NL,3ZM.AS,NL,ok,Leverage Shares 3x Zoom ETP Sec,,,,,,EUR,ETF,,,,
500800.ETR,500800.DE,ETR,no_data,,,,,,,,,,,,
501451.ETR,501451.DE,ETR,no_data,,,,,,,,,,,,
508810.ETR,508810.DE,ETR,no_data,,,,,,,,,,,,
502665.ETR,502665.DE,ETR,no_data,,,,,,,,,,,,
509310.ETR,509310.DE,ETR,no_data,,,,,,,,,,,,
502391.ETR,502391.DE,ETR,no_data,,,,,,,,,,,,
508903.ETR,508903.DE,ETR,no_data,,,,,,,,,,,,
510200.ETR,510200.DE,ETR,no_data,,,,,,,,,,,,
510440.ETR,510440.DE,ETR,no_data,,,,,,,,,,,,
510300.ETR,510300.DE,ETR,no_data,,,,,,,,,,,,
511170.ETR,511170.DE,ETR,no_data,,,,,,,,,,,,
510480.ETR,510480.DE,ETR,no_data,,,,,,,,,,,,
515600.ETR,515600.DE,ETR,no_data,,,,,,,,,,,,
511880.ETR,511880.DE,ETR,no_data,,,,,,,,,,,,
513700.ETR,513700.DE,ETR,no_data,,,,,,,,,,,,
514680.ETR,514680.DE,ETR,no_data,,,,,,,,,,,,
511000.ETR,511000.DE,ETR,no_data,,,,,,,,,,,,
515623.ETR,515623.DE,ETR,no_data,,,,,,,,,,,,
514000.ETR,514000.DE,ETR,no_data,,,,,,,,,,,,
516790.ETR,516790.DE,ETR,no_data,,,,,,,,,,,,
515870.ETR,515870.DE,ETR,no_data,,,,,,,,,,,,
517800.ETR,517800.DE,ETR,no_data,,,,,,,,,,,,
515710.ETR,515710.DE,ETR,no_data,,,,,,,,,,,,
516810.ETR,516810.DE,ETR,no_data,,,,,,,,,,,,
518160.ETR,518160.DE,ETR,no_data,,,,,,,,,,,,
519000.ETR,519000.DE,ETR,no_data,,,,,,,,,,,,
517690.ETR,517690.DE,ETR,no_data,,,,,,,,,,,,
519003.ETR,519003.DE,ETR,no_data,,,,,,,,,,,,
