debs_symbol,yahoo_ticker,exchange,resolved_via,shortName,longName,sector,industry,country,city,currency,quoteType,marketCap,fullTimeEmployees,website,isin_yf
120471.ETR,TIAJF,ETR,isin,TELECOM ITALIA SPA,Telecom Italia S.p.A.,Communication Services,Telecom Services,Italy,Rome,USD,EQUITY,20455303168.0,25782.0,https://www.gruppotim.it/en.html,IT0003497176
121806.ETR,A7A.DE,ETR,isin,Heliad AG                     N,Heliad AG,Financial Services,Asset Management,Germany,Frankfurt am Main,EUR,EQUITY,129769456.0,10.0,https://www.heliad.com,DE0001218063
126215.ETR,DTD2.DE,ETR,isin,B+S Banksysteme AG            I,B+S Banksysteme Aktiengesellschaft,Technology,Software - Application,Germany,Munich,EUR,EQUITY,11674674.0,88.0,https://bs-ag.com,DE0001262152
157484.ETR,CMCSA,ETR,isin,Comcast Corporation,Comcast Corporation,Communication Services,Telecom Services,United States,Philadelphia,USD,EQUITY,80908910592.0,179000.0,https://corporate.comcast.com,US20030N1019
164456.ETR,EAD.F,ETR,isin,Erlebnis Akademie AG          I,Erlebnis Akademie AG,Consumer Cyclical,Leisure,Germany,Bad Kötzting,EUR,EQUITY,9947933.0,213.0,https://www.eak-ag.de,DE0001644565
200417.ETR,MO,ETR,isin,"Altria Group, Inc.","Altria Group, Inc.",Consumer Defensive,Tobacco,United States,Richmond,USD,EQUITY,121718366208.0,5900.0,https://www.altria.com,US02209S1033
252092.ETR,CCK,ETR,isin,"Crown Holdings, Inc.","Crown Holdings, Inc.",Consumer Cyclical,Packaging & Containers,United States,Tampa,USD,EQUITY,12883376128.0,23000.0,https://www.crowncork.com,US2283681060
260555.ETR,B8A.MU,ETR,isin,BAVARIA Industries Group AG   I,BAVARIA Industries Group AG,Financial Services,Asset Management,Germany,Munich,EUR,EQUITY,454645024.0,542.0,https://www.baikap.de,DE0002605557
501451.ETR,VIE.PA,ETR,isin,VEOLIA ENVIRON.,Veolia Environnement SA,Industrials,Waste Management,France,Aubervilliers,EUR,EQUITY,26115567616.0,203100.0,https://www.veolia.com/fr,FR0000124141
502391.ETR,F,ETR,isin,Ford Motor Company,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,United States,Dearborn,USD,EQUITY,58495291392.0,168000.0,https://www.ford.com,US3453708600
508810.ETR,BWB.DE,ETR,isin,Baader Bank AG                I,Baader Bank Aktiengesellschaft,Financial Services,Capital Markets,Germany,Unterschleissheim,EUR,EQUITY,332797664.0,688.0,https://www.baaderbank.de,DE0005088108
508903.ETR,UTDI.F,ETR,isin,UNITED INTERNET AG            N,United Internet AG,Communication Services,Telecom Services,Germany,Montabaur,EUR,EQUITY,4182663168.0,10514.0,https://www.united-internet.de,DE0005089031
509310.ETR,AAD.DE,ETR,isin,AMADEUS FIRE AG               I,Amadeus FiRe AG,Industrials,Staffing & Employment Services,Germany,Frankfurt am Main,EUR,EQUITY,140692864.0,1662.0,https://www.amadeus-fire.de,DE0005093108
510200.ETR,BSL.DE,ETR,isin,BASLER AG                     I,Basler Aktiengesellschaft,Technology,Consumer Electronics,Germany,Ahrensburg,EUR,EQUITY,771845760.0,836.0,https://www.baslerweb.com,DE0005102008
510300.ETR,ADV.DE,ETR,isin,Adtran Networks SE            I,Adtran Networks SE,Technology,Communication Equipment,Germany,Munich,EUR,EQUITY,1202459008.0,2182.0,https://www.adtran.com,DE0005103006
510440.ETR,AOF.DE,ETR,isin,ATOSS Software SE             I,ATOSS Software SE,Technology,Software - Application,Germany,Munich,EUR,EQUITY,1331354880.0,861.0,https://www.atoss.com,DE0005104400
510480.ETR,SYZ.DE,ETR,isin,Syzygy AG                     I,SYZYGY AG,Communication Services,Advertising Agencies,Germany,Bad Homburg vor der Höhe,EUR,EQUITY,17280032.0,454.0,https://www.syzygy-group.net,DE0005104806
511000.ETR,A1OS.DE,ETR,isin,All for One Group SE          N,All for One Group SE,Technology,Information Technology Services,Germany,Filderstadt,EUR,EQUITY,313829216.0,2417.0,https://www.all-for-one.com,DE0005110001
511170.ETR,ZO1.HM,ETR,isin,zooplus SE                    I,zooplus SE,Consumer Cyclical,Specialty Retail,Germany,Munich,EUR,EQUITY,1525644160.0,897.0,https://www.zooplus.com,DE0005111702
511880.ETR,TGT.DE,ETR,isin,11 88 0 Solutions AG          I,11880 Solutions AG,Communication Services,Telecom Services,Germany,Essen,EUR,EQUITY,12434063.0,422.0,https://www.11880.com,DE0005118806
514000.ETR,DBK.DE,ETR,isin,DEUTSCHE BANK AG              N,Deutsche Bank Aktiengesellschaft,Financial Services,Banks - Regional,Germany,Frankfurt am Main,EUR,EQUITY,59422863360.0,90067.0,https://www.db.com,DE0005140008
514680.ETR,DEX.DE,ETR,isin,Delticom AG                   N,Delticom AG,Consumer Cyclical,Auto Parts,Germany,Sehnde,EUR,EQUITY,33357986.0,100.0,https://www.delti.com,DE0005146807
515600.ETR,GGS.F,ETR,isin,Gigaset AG                    I,Gigaset AG,Technology,Communication Equipment,Germany,Bocholt,EUR,EQUITY,1457014.0,857.0,https://www.gigaset.com,DE0005156004
515623.ETR,SCE.DE,ETR,isin,SCHWEIZER ELECTRONIC AG       N,Schweizer Electronic AG,Technology,Electronic Components,Germany,Schramberg,EUR,EQUITY,19532292.0,428.0,https://www.schweizer.ag,DE0005156236
515710.ETR,HNL.DE,ETR,isin,Hoenle AG                     I,Hoenle AG,Industrials,Electrical Equipment & Parts,Germany,Gilching,EUR,EQUITY,46797512.0,494.0,https://www.hoenle.de,DE0005157101
515870.ETR,BC8.DE,ETR,isin,BECHTLE AG                    I,Bechtle AG,Technology,Information Technology Services,Germany,Neckarsulm,EUR,EQUITY,4601520128.0,16496.0,https://www.bechtle.com,DE0005158703
