debs_symbol,yahoo_ticker,exchange,status
120071.ETR,,ETR,isin_not_found
120470.ETR,,ETR,isin_not_found
2MX.FR,,FR,isin_not_found
2MXBS.FR,,FR,isin_not_found
357818.ETR,,ETR,isin_not_found
3BAC.NL,,NL,isin_not_found
3HSB.NL,,NL,isin_not_found
3RDS.NL,,NL,isin_not_found
3VOD.NL,,NL,isin_not_found
500800.ETR,,ETR,isin_not_found
502665.ETR,,ETR,isin_not_found
513700.ETR,,ETR,isin_not_found
516810.ETR,,ETR,isin_not_found
519003.ETR,,ETR,isin_not_found
522090.ETR,,ETR,isin_not_found
522720.ETR,,ETR,isin_not_found
522723.ETR,,ETR,isin_not_found
529498.ETR,,ETR,isin_not_found
540811.ETR,,ETR,isin_not_found
540888.ETR,,ETR,isin_not_found
541561.ETR,,ETR,isin_not_found
547930.ETR,,ETR,isin_not_found
549227.ETR,,ETR,isin_not_found
549416.ETR,,ETR,isin_not_found
553860.ETR,,ETR,isin_not_found
565493.ETR,,ETR,isin_not_found
575198.ETR,,ETR,isin_not_found
585969.ETR,,ETR,isin_not_found
593700.ETR,,ETR,no_isin
593703.ETR,,ETR,no_isin
604611.ETR,,ETR,isin_not_found
609500.ETR,,ETR,isin_not_found
620440.ETR,,ETR,isin_not_found
620458.ETR,,ETR,isin_not_found
645932.ETR,,ETR,isin_not_found
660500.ETR,,ETR,isin_not_found
663200.ETR,,ETR,isin_not_found
665610.ETR,,ETR,isin_not_found
692650.ETR,,ETR,isin_not_found
696780.ETR,,ETR,isin_not_found
725753.ETR,,ETR,isin_not_found
757142.ETR,,ETR,isin_not_found
761210.ETR,,ETR,isin_not_found
804100.ETR,,ETR,isin_not_found
851781.ETR,,ETR,isin_not_found
852789.ETR,,ETR,isin_not_found
853265.ETR,,ETR,isin_not_found
856244.ETR,,ETR,isin_not_found
870450.ETR,,ETR,isin_not_found
873131.ETR,,ETR,isin_not_found
878613.ETR,,ETR,isin_not_found
879100.ETR,,ETR,isin_not_found
880135.ETR,,ETR,isin_not_found
881646.ETR,,ETR,isin_not_found
884304.ETR,,ETR,isin_not_found
891466.ETR,,ETR,no_isin
898407.ETR,,ETR,isin_not_found
901492.ETR,,ETR,isin_not_found
902388.ETR,,ETR,isin_not_found
903276.ETR,,ETR,isin_not_found
923889.ETR,,ETR,isin_not_found
928193.ETR,,ETR,isin_not_found
940561.ETR,,ETR,isin_not_found
A0B5Z8.ETR,,ETR,isin_not_found
A0B65S.ETR,,ETR,isin_not_found
A0B6VB.ETR,,ETR,isin_not_found
A0B9VV.ETR,,ETR,isin_not_found
A0D94M.ETR,,ETR,isin_not_found
A0EQ57.ETR,,ETR,isin_not_found
A0ER6S.ETR,,ETR,isin_not_found
A0ET46.ETR,,ETR,isin_not_found
A0F5CC.ETR,,ETR,isin_not_found
A0F5UQ.ETR,,ETR,isin_not_found
A0G9JK.ETR,,ETR,isin_not_found
A0HG6A.ETR,,ETR,isin_not_found
A0HGWX.ETR,,ETR,isin_not_found
A0JC0V.ETR,,ETR,isin_not_found
A0JC8S.ETR,,ETR,isin_not_found
A0JCY1.ETR,,ETR,isin_not_found
A0JKWU.ETR,,ETR,isin_not_found
A0JL2Y.ETR,,ETR,isin_not_found
A0JLZ7.ETR,,ETR,isin_not_found
A0JMQL.ETR,,ETR,isin_not_found
A0JNE2.ETR,,ETR,isin_not_found
A0KEQF.ETR,,ETR,isin_not_found
