lei,isin,debs_symbol,yahoo_ticker,company_name,has_esef_filing
06BTX5UWZD0GQ5N5Y745,US9297401088,896022.ETR,WAB,Westinghouse Air Brake Technologies Corporation,false
0BGI85ALH27ZJP15DY16,US0584981064,860408.ETR,BALL,Ball Corporation,false
0J0XRGZE3PBRFEZ7MV65,US16119P1084,A2AJX9.ETR,CHTR,"Charter Communications, Inc.",false
0NURKC5Q3CJYZPPK5046,DE000WCH8881,WCH888.ETR,WCH.F,Wacker Chemie AG,false
14URO7KANNWKTLQY7F55,GG00B1RMC548,TFG.NL,TFG.AS,Tetragon Financial Group Limited,true
1B4S6S7G0TW5EE83BO58,US0255371017,850222.ETR,AEP,"American Electric Power Company, Inc.",false
1FRVQX2CRLGC1XLP5727,US5658491064,852789.ETR,,,false
1Z4GXXU7ZHVWFCD8TV52,US68389X1054,871460.ETR,ORCL,Oracle Corporation,false
20S05OYHG0MQM4VUIC57,US3453708600,502391.ETR,F,Ford Motor Company,false
2138001S47XKWIB7TH90,GB00B7KR2P84,A1JTC1.ETR,EZJ.L,EASYJET PLC,true
2138001XI4VRA8YIVQ69,NL0000289783,ROBA.NL,ROBA.AS,Robeco Global Stars Equities EUR E,false
2138001XI4VRA8YIVQ69,NL0010366407,ROBB.NL,ROBB.AS,Robeco Global Stars Equities EUR G,false
2138001XI4VRA8YIVQ69,NL0011354865,ROCO.NL,ROCO.AS,Robeco QI Global Developed Cnsrv Eqs G €,false
2138001XI4VRA8YIVQ69,NL0011354873,ROMF.NL,ROMF.AS,Robeco QI Global Active Eqs G €,false
21380029MJYTPSAEEV15,GB00BF553726,MLSKN.FR,,,false
2138002P5RNKC5W2JZ46,GB00BLGZ9862,A2QQMK.ETR,TSCO.L,TESCO PLC,true
2138003XT726JZK5HD07,GB00BJ9M4V82,MLALE.FR,MLALE.PA,Ucapital Global Plc,false
21380042MB2JKZ6RRP12,GB00B0130H42,A0B57L.ETR,ITM.L,ITM Power Plc,false
2138004JBXWWJKIURC57,GB0006776081,858266.ETR,PSON.L,PEARSON PLC,true
2138004KW8BV57III342,FR0000130577,PUB.FR,PUB.PA,PUBLICIS GROUPE SA,true
2138004N6QDNAZ2V3W80,GG00B1GHHH78,VTA.NL,VTA.AS,Volta Finance Limited,false
21380068Q1JSIAN4FO63,JE00B24DKC09,SBUL.NL,SBUL.AS,WisdomTree Gold 1x Daily Short ETP Securities,false
21380068Q1JSIAN4FO63,JE00B24DKK82,SSIL.NL,SSIL.AS,WisdomTree Silver 1x Daily Short,false
21380068Q1JSIAN4FO63,JE00B2NFTL95,LBUL.NL,LBUL.AS,WisdomTree Gold 2x Daily Leveraged,false
21380068Q1JSIAN4FO63,JE00B2NFTS64,LSIL.NL,LSIL.AS,WisdomTree Silver 2x Daily Leveraged,false
2138007GAHRJQB97YV21,NL0006238131,RAFRI.NL,RAFRI.AS,Robeco Afrika Fonds – EUR E,false
2138007GAHRJQB97YV21,NL0010510822,ROBF.NL,ROBF.AS,Robeco Afrika Fonds - EUR G,false
