filing_id,lei,company_name,country,period_end,date_added,json_url,package_url,error_count
14URO7KANNWKTLQY7F55-2021-12-31-ESEF-NL-0,14URO7KANNWKTLQY7F55,Tetragon Financial Group Limited,NL,2021-12-31,2022-03-22 00:00:00,https://filings.xbrl.org/14URO7KANNWKTLQY7F55/2021-12-31/ESEF/NL/0/14URO7KANNWKTLQY7F55-2021-12-31-T01.json,https://filings.xbrl.org/14URO7KANNWKTLQY7F55/2021-12-31/ESEF/NL/0/14URO7KANNWKTLQY7F55-2021-12-31.zip,0
14URO7KANNWKTLQY7F55-2022-12-31-ESEF-NL-0,14URO7KANNWKTLQY7F55,Tetragon Financial Group Limited,NL,2022-12-31,2023-03-14 10:41:52.020988,https://filings.xbrl.org/14URO7KANNWKTLQY7F55/2022-12-31/ESEF/NL/0/14URO7KANNWKTLQY7F55-2022-12-31-T01.json,https://filings.xbrl.org/14URO7KANNWKTLQY7F55/2022-12-31/ESEF/NL/0/14URO7KANNWKTLQY7F55-2022-12-31.zip,0
2138001S47XKWIB7TH90-2022-09-30-ESEF-GB-0,2138001S47XKWIB7TH90,EASYJET PLC,GB,2022-09-30,2023-01-05 00:00:00,https://filings.xbrl.org/2138001S47XKWIB7TH90/2022-09-30/ESEF/GB/0/2138001S47XKWIB7TH90-2022-09-30-T01.json,https://filings.xbrl.org/2138001S47XKWIB7TH90/2022-09-30/ESEF/GB/0/2138001S47XKWIB7TH90-2022-09-30.zip,0
2138002P5RNKC5W2JZ46-2022-02-26-ESEF-GB-0,2138002P5RNKC5W2JZ46,TESCO PLC,GB,2022-02-26,2022-05-17 00:00:00,https://filings.xbrl.org/2138002P5RNKC5W2JZ46/2022-02-26/ESEF/GB/0/2138002P5RNKC5W2JZ46-2022-02-26-T01.json,https://filings.xbrl.org/2138002P5RNKC5W2JZ46/2022-02-26/ESEF/GB/0/2138002P5RNKC5W2JZ46-2022-02-26.zip,0
2138004JBXWWJKIURC57-2021-12-31-ESEF-GB-0,2138004JBXWWJKIURC57,PEARSON PLC,GB,2021-12-31,2022-04-14 00:00:00,https://filings.xbrl.org/2138004JBXWWJKIURC57/2021-12-31/ESEF/GB/0/2138004JBXWWJKIURC57-2021-12-31-T01.json,https://filings.xbrl.org/2138004JBXWWJKIURC57/2021-12-31/ESEF/GB/0/2138004JBXWWJKIURC57-2021-12-31.zip,0
2138004JBXWWJKIURC57-2022-12-31-ESEF-GB-0,2138004JBXWWJKIURC57,PEARSON PLC,GB,2022-12-31,2023-04-04 21:49:58.455507,https://filings.xbrl.org/2138004JBXWWJKIURC57/2022-12-31/ESEF/GB/0/2138004JBXWWJKIURC57-2022-12-31-T01.json,https://filings.xbrl.org/2138004JBXWWJKIURC57/2022-12-31/ESEF/GB/0/2138004JBXWWJKIURC57-2022-12-31.zip,0
2138004KW8BV57III342-2021-12-31-ESEF-FR-0,2138004KW8BV57III342,PUBLICIS GROUPE SA,FR,2021-12-31,2022-04-26 00:00:00,https://filings.xbrl.org/2138004KW8BV57III342/2021-12-31/ESEF/FR/0/publicis-2021-12-31-fr.json,https://filings.xbrl.org/2138004KW8BV57III342/2021-12-31/ESEF/FR/0/publicis-2021-12-31-fr.zip,0
2138004KW8BV57III342-2022-12-31-ESEF-FR-0,2138004KW8BV57III342,PUBLICIS GROUPE SA,FR,2022-12-31,2023-05-02 12:23:05.841207,https://filings.xbrl.org/2138004KW8BV57III342/2022-12-31/ESEF/FR/0/publicis-2022-12-31-fr.json,https://filings.xbrl.org/2138004KW8BV57III342/2022-12-31/ESEF/FR/0/publicis-2022-12-31-fr.zip,0
2138008FABJXP4HUOK53-2021-12-31-ESEF-FR-0,2138008FABJXP4HUOK53,ANTIN INFRASTRUCTURE PARTNERS,FR,2021-12-31,2022-05-03 00:00:00,https://filings.xbrl.org/2138008FABJXP4HUOK53/2021-12-31/ESEF/FR/0/antinip-2021-12-31-en.json,https://filings.xbrl.org/2138008FABJXP4HUOK53/2021-12-31/ESEF/FR/0/antinip-2021-12-31-en.zip,0
2138008M6MH9OZ6U2T68-2022-09-30-ESEF-GB-0,2138008M6MH9OZ6U2T68,COMPASS GROUP PLC,GB,2022-09-30,2023-01-05 00:00:00,https://filings.xbrl.org/2138008M6MH9OZ6U2T68/2022-09-30/ESEF/GB/0/2138008M6MH9OZ6U2T68-2022-09-30-T01.json,https://filings.xbrl.org/2138008M6MH9OZ6U2T68/2022-09-30/ESEF/GB/0/2138008M6MH9OZ6U2T68-2022-09-30.zip,0
