timestamp_berlin,price_dayahead_DE_LU_EUR_MWh,price_dayahead_FR_EUR_MWh,price_dayahead_NL_EUR_MWh,load_actual_DE_LU_MW,load_actual_FR_MW,load_actual_NL_MW,gen_DE_LU_Biomass_Actual_Aggregated_MW,gen_DE_LU_Fossil_Brown_coal_Lignite_Actual_Aggregated_MW,gen_DE_LU_Fossil_Gas_Actual_Aggregated_MW,gen_DE_LU_Fossil_Hard_coal_Actual_Aggregated_MW,gen_DE_LU_Fossil_Oil_Actual_Aggregated_MW,gen_DE_LU_Geothermal_Actual_Aggregated_MW,gen_DE_LU_Hydro_Pumped_Storage_Actual_Aggregated_MW,gen_DE_LU_Hydro_Pumped_Storage_Actual_Consumption_MW,gen_DE_LU_Hydro_Run-of-river_and_poundage_Actual_Aggregated_MW,gen_DE_LU_Hydro_Water_Reservoir_Actual_Aggregated_MW,gen_DE_LU_Nuclear_Actual_Aggregated_MW,gen_DE_LU_Other_Actual_Aggregated_MW,gen_DE_LU_Other_renewable_Actual_Aggregated_MW,gen_DE_LU_Other_renewable_Actual_Consumption_MW,gen_DE_LU_Solar_Actual_Aggregated_MW,gen_DE_LU_Solar_Actual_Consumption_MW,gen_DE_LU_Waste_Actual_Aggregated_MW,gen_DE_LU_Wind_Offshore_Actual_Aggregated_MW,gen_DE_LU_Wind_Onshore_Actual_Aggregated_MW,gen_DE_LU_Wind_Onshore_Actual_Consumption_MW,gen_FR_Biomass_Actual_Aggregated_MW,gen_FR_Fossil_Gas_Actual_Aggregated_MW,gen_FR_Fossil_Hard_coal_Actual_Aggregated_MW,gen_FR_Fossil_Oil_Actual_Aggregated_MW,gen_FR_Hydro_Pumped_Storage_Actual_Aggregated_MW,gen_FR_Hydro_Pumped_Storage_Actual_Consumption_MW,gen_FR_Hydro_Run-of-river_and_poundage_Actual_Aggregated_MW,gen_FR_Hydro_Water_Reservoir_Actual_Aggregated_MW,gen_FR_Hydro_Water_Reservoir_Actual_Consumption_MW,gen_FR_Nuclear_Actual_Aggregated_MW,gen_FR_Solar_Actual_Aggregated_MW,gen_FR_Waste_Actual_Aggregated_MW,gen_FR_Wind_Onshore_Actual_Aggregated_MW,gen_NL_Biomass_Actual_Aggregated_MW,gen_NL_Biomass_Actual_Consumption_MW,gen_NL_Fossil_Gas_Actual_Aggregated_MW,gen_NL_Fossil_Gas_Actual_Consumption_MW,gen_NL_Fossil_Hard_coal_Actual_Aggregated_MW,gen_NL_Fossil_Hard_coal_Actual_Consumption_MW,gen_NL_Hydro_Run-of-river_and_poundage_Actual_Aggregated_MW,gen_NL_Hydro_Run-of-river_and_poundage_Actual_Consumption_MW,gen_NL_Nuclear_Actual_Aggregated_MW,gen_NL_Nuclear_Actual_Consumption_MW,gen_NL_Other_Actual_Aggregated_MW,gen_NL_Other_Actual_Consumption_MW,gen_NL_Solar_Actual_Aggregated_MW,gen_NL_Solar_Actual_Consumption_MW,gen_NL_Waste_Actual_Aggregated_MW,gen_NL_Waste_Actual_Consumption_MW,gen_NL_Wind_Offshore_Actual_Aggregated_MW,gen_NL_Wind_Offshore_Actual_Consumption_MW,gen_NL_Wind_Onshore_Actual_Aggregated_MW,gen_NL_Wind_Onshore_Actual_Consumption_MW,flow_DE_LU_to_FR_MW,flow_FR_to_DE_LU_MW,flow_DE_LU_to_NL_MW,flow_NL_to_DE_LU_MW,imbalance_DE_LU_long_EUR_MWh,imbalance_DE_LU_short_EUR_MWh,imbalance_FR_long_EUR_MWh,imbalance_FR_short_EUR_MWh,imbalance_NL_long_EUR_MWh,imbalance_NL_short_EUR_MWh
2021-11-08 00:00:00+01:00,55.39,172.86,200.1,49211.35,53728.0,10792.2,4277.1,9229.05,3255.89,3072.21,271.63,27.44,166.66,2344.64,992.1,74.88,6910.07,235.43,133.94,,0.33,0.0,896.16,4923.21,23192.12,0.0,339.0,6440.0,579.0,209.0,,1227.0,2854.0,629.0,,39612.0,0.0,256.0,2716.0,33.75,0.0,2710.28,44.22,2412.8,9.47,0.0,0.0,481.07,0.0,1642.08,1256.81,0.0,0.93,391.97,3.18,1445.71,0.0,469.11,5.51,240.418,41.2925,1468.2,0.0,16.12,16.12,84.36,93.24,161.99,161.99
2021-11-08 00:15:00+01:00,55.39,172.86,200.1,48650.62,53728.0,10735.58,4266.35,8865.26,3516.08,2996.16,271.5,27.47,184.88,2524.39,995.67,39.82,6913.44,235.55,133.56,,0.27,0.0,896.83,4851.91,23085.98,0.0,339.0,6440.0,579.0,209.0,,1227.0,2854.0,629.0,,39612.0,0.0,256.0,2716.0,34.9,0.0,2795.15,38.62,2419.03,9.5,0.0,0.0,481.04,0.0,1419.27,1336.32,0.0,0.88,385.38,2.75,1421.26,0.0,405.8,5.58,240.418,41.2925,1338.68,0.0,-19.0,-19.0,,,170.1,170.1
2021-11-08 00:30:00+01:00,55.39,172.86,200.1,48236.29,53728.0,10590.87,4271.11,8776.27,3513.57,2993.2,271.5,27.54,223.19,2592.87,1002.33,47.67,6904.92,235.45,133.55,,0.37,0.0,900.09,4815.1,22600.44,0.0,339.0,6440.0,579.0,209.0,,1227.0,2854.0,629.0,,39612.0,0.0,256.0,2716.0,34.63,0.0,2959.1,40.28,2422.87,9.47,0.0,0.0,481.02,0.0,1170.65,1351.89,0.0,0.92,381.44,3.34,1305.84,0.0,338.61,5.58,240.418,41.2925,1259.2,0.0,-45.76,-45.76,119.63,132.23,223.12,223.12
2021-11-08 00:45:00+01:00,55.39,172.86,200.1,47731.83,53728.0,10478.21,4274.47,8826.23,3517.3,2981.53,271.5,27.6,143.44,2535.57,1003.76,67.11,6938.54,235.48,133.7,,0.33,0.0,899.95,4839.79,22225.86,0.0,339.0,6440.0,579.0,209.0,,1227.0,2854.0,629.0,,39612.0,0.0,256.0,2716.0,34.25,0.0,3016.09,43.88,2410.16,9.77,0.0,0.0,481.07,0.0,1091.9,1361.08,0.0,0.9,374.8,3.04,1218.27,0.0,322.11,5.53,240.418,41.2925,1209.6,0.0,-27.41,-27.41,,,246.84,246.84
2021-11-08 01:00:00+01:00,57.94,165.68,189.0,47755.36,52011.0,10429.16,4274.21,8893.59,3511.58,2939.49,271.5,27.64,310.58,1552.68,1005.24,130.54,6956.82,235.38,133.61,,0.28,0.0,899.5,4919.96,21864.74,0.0,337.0,6149.0,389.0,209.0,,2086.0,2678.0,429.0,,39735.0,0.0,255.0,2663.0,34.4,0.0,2998.96,48.85,2408.8,9.73,0.0,0.0,481.08,0.0,1127.96,1369.37,0.0,0.9,347.78,3.34,1161.09,0.0,361.67,5.52,586.8225,0.0,1438.6,0.0,40.57,40.57,153.8,169.98,220.09,220.09
2021-11-08 01:15:00+01:00,57.94,165.68,189.0,47334.22,52011.0,10381.79,4285.44,8707.11,3527.11,2934.09,271.5,27.6,279.5,1337.94,1008.36,38.58,6955.88,235.58,135.52,,0.32,0.0,897.97,4936.4,21458.63,0.0,337.0,6149.0,389.0,209.0,,2086.0,2678.0,429.0,,39735.0,0.0,255.0,2663.0,34.84,0.0,3059.2,41.78,2415.67,9.57,0.0,0.0,481.08,0.0,1195.78,1379.56,0.0,0.89,341.28,3.06,959.44,0.0,410.34,5.47,586.8225,0.0,1417.52,0.0,29.68,29.68,,,287.27,287.27
2021-11-08 01:30:00+01:00,57.94,165.68,189.0,47001.32,52011.0,10297.58,4281.9,8650.62,3522.77,2942.68,271.5,27.59,292.49,1222.08,1005.56,46.73,6958.18,229.42,135.63,,0.35,0.0,894.48,4803.42,21183.37,0.0,337.0,6149.0,389.0,209.0,,2086.0,2678.0,429.0,,39735.0,0.0,255.0,2663.0,34.85,0.0,3072.1,40.65,2407.2,9.6,0.0,0.0,481.09,0.0,1363.5,1360.63,0.0,0.86,337.68,3.1,953.32,0.0,399.03,5.44,586.8225,0.0,1292.32,0.0,186.01,186.01,148.72,164.38,194.46,194.46
2021-11-08 01:45:00+01:00,57.94,165.68,189.0,46941.25,52011.0,10273.57,4281.17,8606.35,3519.74,3073.47,271.5,27.55,336.5,1136.84,1006.84,56.41,6951.73,229.59,135.62,,0.28,0.0,887.28,4911.0,20666.59,0.0,337.0,6149.0,389.0,209.0,,2086.0,2678.0,429.0,,39735.0,0.0,255.0,2663.0,34.31,0.0,2885.57,46.41,2399.13,9.54,0.0,0.0,481.06,0.0,1367.12,1378.65,0.0,0.92,361.67,3.33,1003.23,0.0,437.01,5.61,586.8225,0.0,1302.28,0.0,173.0,173.0,,,139.59,139.59
2021-11-08 02:00:00+01:00,62.95,155.75,180.0,46586.92,51208.0,10300.94,4267.71,8569.6,3537.57,3163.0,271.5,27.63,364.64,1777.06,1003.79,21.6,6933.49,229.42,135.32,,0.35,0.0,891.03,4860.45,20161.1,0.0,339.0,6031.0,410.0,209.0,,2459.0,2596.0,349.0,,40052.0,0.0,257.0,2601.0,34.24,0.0,3006.19,41.45,2398.64,9.33,0.0,0.0,481.09,0.0,1369.18,1422.47,0.0,0.85,369.21,3.24,1023.48,0.0,483.33,5.49,701.9865,0.0,1397.76,0.0,20.91,20.91,127.93,141.39,205.5,205.5
2021-11-08 02:15:00+01:00,62.95,155.75,180.0,46600.98,51208.0,10286.31,4262.3,8580.52,3510.97,3149.27,271.5,27.69,344.1,1696.1,1001.95,24.06,6907.51,229.37,134.89,,0.34,0.0,896.47,4784.46,19594.11,0.0,339.0,6031.0,410.0,209.0,,2459.0,2596.0,349.0,,40052.0,0.0,257.0,2601.0,34.5,0.0,3177.32,41.69,2414.73,9.54,0.0,0.0,481.09,0.0,1168.84,1453.14,0.0,0.88,366.95,3.2,894.74,0.0,564.39,5.27,701.9865,0.0,1338.52,0.0,-52.85,-52.85,,,202.72,202.72
