debs_symbol,yahoo_ticker,exchange,status,shortName,longName,sector,industry,country,city,currency,quoteType,marketCap,fullTimeEmployees,website,isin_yf
157484.ETR,CMCSA,ETR,ok_isin,Comcast Corporation,Comcast Corporation,Communication Services,Telecom Services,United States,Philadelphia,USD,EQUITY,80908910592,179000,https://corporate.comcast.com,US20030N1019
120471.ETR,TIAJF,ETR,ok_isin,TELECOM ITALIA SPA,Telecom Italia S.p.A.,Communication Services,Telecom Services,Italy,Rome,USD,EQUITY,20455303168,25782,https://www.gruppotim.it/en.html,IT0003497176
252092.ETR,CCK,ETR,ok_isin,"Crown Holdings, Inc.","Crown Holdings, Inc.",Consumer Cyclical,Packaging & Containers,United States,Tampa,USD,EQUITY,12883376128,23000,https://www.crowncork.com,US2283681060
126215.ETR,DTD2.DE,ETR,ok_isin,B+S Banksysteme AG            I,B+S Banksysteme Aktiengesellschaft,Technology,Software - Application,Germany,Munich,EUR,EQUITY,11674674,88,https://bs-ag.com,DE0001262152
164456.ETR,EAD.F,ETR,ok_isin,Erlebnis Akademie AG          I,Erlebnis Akademie AG,Consumer Cyclical,Leisure,Germany,Bad Kötzting,EUR,EQUITY,9947933,213,https://www.eak-ag.de,DE0001644565
200417.ETR,MO,ETR,ok_isin,"Altria Group, Inc.","Altria Group, Inc.",Consumer Defensive,Tobacco,United States,Richmond,USD,EQUITY,121718366208,5900,https://www.altria.com,US02209S1033
120470.ETR,,ETR,isin_not_found,,,,,,,,,,,,IT0003497168
121806.ETR,A7A.DE,ETR,ok_isin,Heliad AG                     N,Heliad AG,Financial Services,Asset Management,Germany,Frankfurt am Main,EUR,EQUITY,129769456,10,https://www.heliad.com,DE0001218063
120071.ETR,,ETR,isin_not_found,,,,,,,,,,,,GB0031215220
260555.ETR,B8A.MU,ETR,ok_isin,BAVARIA Industries Group AG   I,BAVARIA Industries Group AG,Financial Services,Asset Management,Germany,Munich,EUR,EQUITY,454645024,542,https://www.baikap.de,DE0002605557
2CRSI.FR,AL2SI.PA,FR,ok_isin,2CRSI,2CRSI S.A.,Technology,Computer Hardware,France,Strasbourg,EUR,EQUITY,578278720,112,https://2crsi.com,FR0013341781
2MX.FR,,FR,isin_not_found,,,,,,,,,,,,FR0014000T90
2MXBS.FR,,FR,isin_not_found,,,,,,,,,,,,FR0014000TB2
3BA.NL,BA3.L,NL,ok_isin,LEVERAGE SHARES PUBLIC LIMITED ,Leverage Shares 3x Boeing ETP Securities,,,,,USD,ETF,,,,XS2297551371
3BAC.NL,,NL,isin_not_found,,,,,,,,,,,,XS2297618626
357818.ETR,,ETR,isin_not_found,,,,,,,,,,,,CA98462Y1007
3HSB.NL,,NL,isin_not_found,,,,,,,,,,,,XS2297618030
3RDS.NL,,NL,isin_not_found,,,,,,,,,,,,XS2297634318
3VOD.NL,,NL,isin_not_found,,,,,,,,,,,,XS2297637253
500800.ETR,,ETR,isin_not_found,,,,,,,,,,,,DE0005008007
501451.ETR,VIE.PA,ETR,ok_isin,VEOLIA ENVIRON.,Veolia Environnement SA,Industrials,Waste Management,France,Aubervilliers,EUR,EQUITY,26115567616,203100,https://www.veolia.com/fr,FR0000124141
508810.ETR,BWB.DE,ETR,ok_isin,Baader Bank AG                I,Baader Bank Aktiengesellschaft,Financial Services,Capital Markets,Germany,Unterschleissheim,EUR,EQUITY,332797664,688,https://www.baaderbank.de,DE0005088108
502665.ETR,,ETR,isin_not_found,,,,,,,,,,,,US4851703029
509310.ETR,AAD.DE,ETR,ok_isin,AMADEUS FIRE AG               I,Amadeus FiRe AG,Industrials,Staffing & Employment Services,Germany,Frankfurt am Main,EUR,EQUITY,140692864,1662,https://www.amadeus-fire.de,DE0005093108
502391.ETR,F,ETR,ok_isin,Ford Motor Company,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,United States,Dearborn,USD,EQUITY,58495291392,168000,https://www.ford.com,US3453708600
508903.ETR,UTDI.F,ETR,ok_isin,UNITED INTERNET AG            N,United Internet AG,Communication Services,Telecom Services,Germany,Montabaur,EUR,EQUITY,4182663168,10514,https://www.united-internet.de,DE0005089031
510200.ETR,BSL.DE,ETR,ok_isin,BASLER AG                     I,Basler Aktiengesellschaft,Technology,Consumer Electronics,Germany,Ahrensburg,EUR,EQUITY,771845760,836,https://www.baslerweb.com,DE0005102008
510440.ETR,AOF.DE,ETR,ok_isin,ATOSS Software SE             I,ATOSS Software SE,Technology,Software - Application,Germany,Munich,EUR,EQUITY,1331354880,861,https://www.atoss.com,DE0005104400
510300.ETR,ADV.DE,ETR,ok_isin,Adtran Networks SE            I,Adtran Networks SE,Technology,Communication Equipment,Germany,Munich,EUR,EQUITY,1202459008,2182,https://www.adtran.com,DE0005103006
511170.ETR,ZO1.HM,ETR,ok_isin,zooplus SE                    I,zooplus SE,Consumer Cyclical,Specialty Retail,Germany,Munich,EUR,EQUITY,1525644160,897,https://www.zooplus.com,DE0005111702
510480.ETR,SYZ.DE,ETR,ok_isin,Syzygy AG                     I,SYZYGY AG,Communication Services,Advertising Agencies,Germany,Bad Homburg vor der Höhe,EUR,EQUITY,17280032,454,https://www.syzygy-group.net,DE0005104806
515600.ETR,GGS.F,ETR,ok_isin,Gigaset AG                    I,Gigaset AG,Technology,Communication Equipment,Germany,Bocholt,EUR,EQUITY,1457014,857,https://www.gigaset.com,DE0005156004
511880.ETR,TGT.DE,ETR,ok_isin,11 88 0 Solutions AG          I,11880 Solutions AG,Communication Services,Telecom Services,Germany,Essen,EUR,EQUITY,12434063,422,https://www.11880.com,DE0005118806
513700.ETR,,ETR,isin_not_found,,,,,,,,,,,,DE0005137004
