debs_symbol,yahoo_ticker,exchange,status
120470.ETR,120470.DE,ETR,isin_not_found
120071.ETR,120071.DE,ETR,isin_not_found
2MX.FR,2MX.PA,FR,isin_not_found
2MXBS.FR,2MXBS.PA,FR,isin_not_found
3BAC.NL,3BAC.AS,NL,isin_not_found
357818.ETR,357818.DE,ETR,isin_not_found
3HSB.NL,3HSB.AS,NL,isin_not_found
3RDS.NL,3RDS.AS,NL,isin_not_found
3VOD.NL,3VOD.AS,NL,isin_not_found
500800.ETR,500800.DE,ETR,isin_not_found
502665.ETR,502665.DE,ETR,isin_not_found
513700.ETR,513700.DE,ETR,isin_not_found
516810.ETR,516810.DE,ETR,isin_not_found
519003.ETR,519003.DE,ETR,isin_not_found
522090.ETR,522090.DE,ETR,isin_not_found
522723.ETR,522723.DE,ETR,isin_not_found
522720.ETR,522720.DE,ETR,isin_not_found
529498.ETR,529498.DE,ETR,isin_not_found
540811.ETR,540811.DE,ETR,isin_not_found
540888.ETR,540888.DE,ETR,isin_not_found
541561.ETR,541561.DE,ETR,isin_not_found
549227.ETR,549227.DE,ETR,isin_not_found
547930.ETR,547930.DE,ETR,isin_not_found
549416.ETR,549416.DE,ETR,isin_not_found
553860.ETR,553860.DE,ETR,isin_not_found
565493.ETR,565493.DE,ETR,isin_not_found
575198.ETR,575198.DE,ETR,isin_not_found
585969.ETR,585969.DE,ETR,isin_not_found
593700.ETR,593700.DE,ETR,no_data
593703.ETR,593703.DE,ETR,no_data
604611.ETR,604611.DE,ETR,isin_not_found
609500.ETR,609500.DE,ETR,isin_not_found
620458.ETR,620458.DE,ETR,isin_not_found
620440.ETR,620440.DE,ETR,isin_not_found
645932.ETR,645932.DE,ETR,isin_not_found
660500.ETR,660500.DE,ETR,isin_not_found
663200.ETR,663200.DE,ETR,isin_not_found
665610.ETR,665610.DE,ETR,isin_not_found
692650.ETR,692650.DE,ETR,isin_not_found
696780.ETR,696780.DE,ETR,isin_not_found
725753.ETR,725753.DE,ETR,isin_not_found
761210.ETR,761210.DE,ETR,isin_not_found
757142.ETR,757142.DE,ETR,isin_not_found
804100.ETR,804100.DE,ETR,isin_not_found
851781.ETR,851781.DE,ETR,isin_not_found
852789.ETR,852789.DE,ETR,isin_not_found
