timestamp_utc,timestamp_local,bidding_zone,price_eur_mwh,load_actual_mw
2021-11-07T23:00:00+00:00,2021-11-08T00:00:00+01:00,AT,101.31,
2021-11-07T23:00:00+00:00,2021-11-08T00:00:00+01:00,BE,177.3,
2021-11-07T23:00:00+00:00,2021-11-08T00:00:00+01:00,CH,176.2,
2021-11-07T23:00:00+00:00,2021-11-08T00:00:00+01:00,DE-LU,55.39,49211.35
2021-11-07T23:00:00+00:00,2021-11-08T00:00:00+01:00,FR,172.86,53728
2021-11-07T23:00:00+00:00,2021-11-08T00:00:00+01:00,NL,200.1,10792.2
2021-11-07T23:15:00+00:00,2021-11-08T00:15:00+01:00,AT,101.31,
2021-11-07T23:15:00+00:00,2021-11-08T00:15:00+01:00,BE,177.3,
2021-11-07T23:15:00+00:00,2021-11-08T00:15:00+01:00,CH,176.2,
2021-11-07T23:15:00+00:00,2021-11-08T00:15:00+01:00,DE-LU,55.39,48650.62
2021-11-07T23:15:00+00:00,2021-11-08T00:15:00+01:00,FR,172.86,53728
2021-11-07T23:15:00+00:00,2021-11-08T00:15:00+01:00,NL,200.1,10735.58
2021-11-07T23:30:00+00:00,2021-11-08T00:30:00+01:00,AT,101.31,
2021-11-07T23:30:00+00:00,2021-11-08T00:30:00+01:00,BE,177.3,
2021-11-07T23:30:00+00:00,2021-11-08T00:30:00+01:00,CH,176.2,
2021-11-07T23:30:00+00:00,2021-11-08T00:30:00+01:00,DE-LU,55.39,48236.29
2021-11-07T23:30:00+00:00,2021-11-08T00:30:00+01:00,FR,172.86,53728
2021-11-07T23:30:00+00:00,2021-11-08T00:30:00+01:00,NL,200.1,10590.87
2021-11-07T23:45:00+00:00,2021-11-08T00:45:00+01:00,AT,101.31,
2021-11-07T23:45:00+00:00,2021-11-08T00:45:00+01:00,BE,177.3,
2021-11-07T23:45:00+00:00,2021-11-08T00:45:00+01:00,CH,176.2,
2021-11-07T23:45:00+00:00,2021-11-08T00:45:00+01:00,DE-LU,55.39,47731.83
2021-11-07T23:45:00+00:00,2021-11-08T00:45:00+01:00,FR,172.86,53728
2021-11-07T23:45:00+00:00,2021-11-08T00:45:00+01:00,NL,200.1,10478.21
2021-11-08T00:00:00+00:00,2021-11-08T01:00:00+01:00,AT,98.59,
2021-11-08T00:00:00+00:00,2021-11-08T01:00:00+01:00,BE,160.84,
2021-11-08T00:00:00+00:00,2021-11-08T01:00:00+01:00,CH,170.89,
2021-11-08T00:00:00+00:00,2021-11-08T01:00:00+01:00,DE-LU,57.94,47755.36
2021-11-08T00:00:00+00:00,2021-11-08T01:00:00+01:00,FR,165.68,52011
2021-11-08T00:00:00+00:00,2021-11-08T01:00:00+01:00,NL,189,10429.16
2021-11-08T00:15:00+00:00,2021-11-08T01:15:00+01:00,AT,98.59,
2021-11-08T00:15:00+00:00,2021-11-08T01:15:00+01:00,BE,160.84,
2021-11-08T00:15:00+00:00,2021-11-08T01:15:00+01:00,CH,170.89,
2021-11-08T00:15:00+00:00,2021-11-08T01:15:00+01:00,DE-LU,57.94,47334.22
2021-11-08T00:15:00+00:00,2021-11-08T01:15:00+01:00,FR,165.68,52011
2021-11-08T00:15:00+00:00,2021-11-08T01:15:00+01:00,NL,189,10381.79
2021-11-08T00:30:00+00:00,2021-11-08T01:30:00+01:00,AT,98.59,
2021-11-08T00:30:00+00:00,2021-11-08T01:30:00+01:00,BE,160.84,
2021-11-08T00:30:00+00:00,2021-11-08T01:30:00+01:00,CH,170.89,
2021-11-08T00:30:00+00:00,2021-11-08T01:30:00+01:00,DE-LU,57.94,47001.32
2021-11-08T00:30:00+00:00,2021-11-08T01:30:00+01:00,FR,165.68,52011
2021-11-08T00:30:00+00:00,2021-11-08T01:30:00+01:00,NL,189,10297.58
2021-11-08T00:45:00+00:00,2021-11-08T01:45:00+01:00,AT,98.59,
2021-11-08T00:45:00+00:00,2021-11-08T01:45:00+01:00,BE,160.84,
2021-11-08T00:45:00+00:00,2021-11-08T01:45:00+01:00,CH,170.89,
2021-11-08T00:45:00+00:00,2021-11-08T01:45:00+01:00,DE-LU,57.94,46941.25
2021-11-08T00:45:00+00:00,2021-11-08T01:45:00+01:00,FR,165.68,52011
2021-11-08T00:45:00+00:00,2021-11-08T01:45:00+01:00,NL,189,10273.57
2021-11-08T01:00:00+00:00,2021-11-08T02:00:00+01:00,AT,102.24,
2021-11-08T01:00:00+00:00,2021-11-08T02:00:00+01:00,BE,177.33,
2021-11-08T01:00:00+00:00,2021-11-08T02:00:00+01:00,CH,170.84,
2021-11-08T01:00:00+00:00,2021-11-08T02:00:00+01:00,DE-LU,62.95,46586.92
2021-11-08T01:00:00+00:00,2021-11-08T02:00:00+01:00,FR,155.75,51208
2021-11-08T01:00:00+00:00,2021-11-08T02:00:00+01:00,NL,180,10300.94
2021-11-08T01:15:00+00:00,2021-11-08T02:15:00+01:00,AT,102.24,
2021-11-08T01:15:00+00:00,2021-11-08T02:15:00+01:00,BE,177.33,
2021-11-08T01:15:00+00:00,2021-11-08T02:15:00+01:00,CH,170.84,
2021-11-08T01:15:00+00:00,2021-11-08T02:15:00+01:00,DE-LU,62.95,46600.98
2021-11-08T01:15:00+00:00,2021-11-08T02:15:00+01:00,FR,155.75,51208
2021-11-08T01:15:00+00:00,2021-11-08T02:15:00+01:00,NL,180,10286.31
2021-11-08T01:30:00+00:00,2021-11-08T02:30:00+01:00,AT,102.24,
2021-11-08T01:30:00+00:00,2021-11-08T02:30:00+01:00,BE,177.33,
2021-11-08T01:30:00+00:00,2021-11-08T02:30:00+01:00,CH,170.84,
2021-11-08T01:30:00+00:00,2021-11-08T02:30:00+01:00,DE-LU,62.95,46570.62
2021-11-08T01:30:00+00:00,2021-11-08T02:30:00+01:00,FR,155.75,51208
2021-11-08T01:30:00+00:00,2021-11-08T02:30:00+01:00,NL,180,10253.05
2021-11-08T01:45:00+00:00,2021-11-08T02:45:00+01:00,AT,102.24,
2021-11-08T01:45:00+00:00,2021-11-08T02:45:00+01:00,BE,177.33,
2021-11-08T01:45:00+00:00,2021-11-08T02:45:00+01:00,CH,170.84,
2021-11-08T01:45:00+00:00,2021-11-08T02:45:00+01:00,DE-LU,62.95,46896.87
2021-11-08T01:45:00+00:00,2021-11-08T02:45:00+01:00,FR,155.75,51208
2021-11-08T01:45:00+00:00,2021-11-08T02:45:00+01:00,NL,180,10244.81
2021-11-08T02:00:00+00:00,2021-11-08T03:00:00+01:00,AT,95.3,
2021-11-08T02:00:00+00:00,2021-11-08T03:00:00+01:00,BE,166.72,
2021-11-08T02:00:00+00:00,2021-11-08T03:00:00+01:00,CH,168.87,
2021-11-08T02:00:00+00:00,2021-11-08T03:00:00+01:00,DE-LU,60,47069.46
2021-11-08T02:00:00+00:00,2021-11-08T03:00:00+01:00,FR,139.41,49205
